timestamp,symbol,price,volume,price_change_percent
2025-08-14T18:13:58.379874,SOLUSDT,197.46,8893177.029,-0.419
2025-08-14T18:13:58.595932,BTCUSDT,119294.23,30576.953776,-1.856
2025-08-14T18:13:58.616315,ETHUSDT,4686.06,1234220.8027,-0.036
2025-08-14T18:13:58.885480,ADAUSDT,0.937,770321536.3,7.233
2025-08-14T18:13:59.865102,XRPUSDT,3.1342,286666947.3,-4.036
2025-08-14T18:14:29.375477,SOLUSDT,196.64,8895234.899,-0.997
2025-08-14T18:14:29.590705,BTCUSDT,119044.05,30590.739796,-2.142
2025-08-14T18:14:29.609634,ETHUSDT,4672.92,1233719.2031,-0.521
2025-08-14T18:14:29.884082,ADAUSDT,0.9332,770887653.7,6.603
2025-08-14T18:14:29.894638,XRPUSDT,3.1251,286695643.2,-4.396
2025-08-14T18:15:00.368009,SOLUSDT,196.37,8900495.805,-1.322
2025-08-14T18:15:00.587475,BTCUSDT,119063.24,30600.989406,-2.126
2025-08-14T18:15:00.604462,ETHUSDT,4667.77,1233495.315,-0.65
2025-08-14T18:15:00.877405,ADAUSDT,0.9315,770998470.7,6.494
2025-08-14T18:15:00.890279,XRPUSDT,3.1244,286778501.9,-4.444
2025-08-14T18:15:31.370254,SOLUSDT,196.66,8895055.167,-1.086
2025-08-14T18:15:31.579556,BTCUSDT,119072.18,30597.566276,-2.066
2025-08-14T18:15:31.598050,ETHUSDT,4669.68,1233508.8929,-0.509
2025-08-14T18:15:31.870991,ADAUSDT,0.9324,771541951.2,6.682
2025-08-14T18:15:31.884763,XRPUSDT,3.1272,286811577.5,-4.291
2025-08-14T18:16:02.222271,ETHUSDT,4676.74,1233545.1121,-0.259
2025-08-14T18:16:02.222271,ADAUSDT,0.9337,771563605.9,6.965
2025-08-14T18:16:02.223271,XRPUSDT,3.1309,286809219.0,-4.078
2025-08-14T18:16:02.355853,SOLUSDT,196.93,8897225.055,-0.861
2025-08-14T18:16:02.580534,BTCUSDT,119129.06,30598.021726,-1.959
2025-08-14T18:16:32.584834,ETHUSDT,4681.02,1233467.9733,-0.124
2025-08-14T18:16:32.860683,ADAUSDT,0.9349,771667493.3,7.189
2025-08-14T18:16:32.871591,XRPUSDT,3.1351,286844644.0,-3.884
2025-08-14T18:16:33.349185,SOLUSDT,197.23,8896588.353,-0.66
2025-08-14T18:16:33.568161,BTCUSDT,119237.81,30584.633046,-1.826
2025-08-14T18:17:03.580135,ETHUSDT,4691.71,1233739.2393,0.084
2025-08-14T18:17:03.854507,ADAUSDT,0.9365,771330972.2,7.409
2025-08-14T18:17:03.865254,XRPUSDT,3.138,286887899.2,-3.79
2025-08-14T18:17:04.343940,SOLUSDT,197.53,8896453.13,-0.524
2025-08-14T18:17:04.561679,BTCUSDT,119339.99,30547.481766,-1.638
2025-08-14T18:17:33.581203,ETHUSDT,4693.51,1232903.1728,0.249
2025-08-14T18:17:34.899793,ADAUSDT,0.9352,771377663.7,7.47
2025-08-14T18:17:34.904794,XRPUSDT,3.1375,286845856.5,-3.604
2025-08-14T18:17:35.339319,SOLUSDT,197.59,8897604.564,-0.288
2025-08-14T18:17:35.554477,BTCUSDT,119314.16,30546.426966,-1.614
2025-08-14T18:18:04.566245,ETHUSDT,4691.18,1233434.4495,0.225
2025-08-14T18:18:05.841142,ADAUSDT,0.9341,771449838.3,7.245
2025-08-14T18:18:05.858981,XRPUSDT,3.1361,286938453.0,-3.765
2025-08-14T18:18:06.332706,SOLUSDT,197.58,8899766.319,-0.413
2025-08-14T18:18:06.549197,BTCUSDT,119300.0,30523.114446,-1.59
2025-08-14T18:18:35.190713,ETHUSDT,4684.71,1233516.8862,0.131
2025-08-14T18:18:35.885259,ADAUSDT,0.9328,771610662.9,7.034
2025-08-14T18:18:35.886258,XRPUSDT,3.1344,286910842.3,-3.817
2025-08-14T18:18:37.330764,SOLUSDT,197.17,8901516.967,-0.635
2025-08-14T18:18:37.543001,BTCUSDT,119240.81,30503.723286,-1.618
2025-08-14T18:19:05.558939,ETHUSDT,4683.39,1233473.099,0.108
2025-08-14T18:19:06.829750,ADAUSDT,0.9322,771771020.2,7.051
2025-08-14T18:19:06.838963,XRPUSDT,3.1345,286772755.2,-3.735
2025-08-14T18:19:08.321123,SOLUSDT,197.22,8900555.537,-0.494
2025-08-14T18:19:08.536795,BTCUSDT,119260.0,30502.532576,-1.577
2025-08-14T18:19:36.548604,ETHUSDT,4688.02,1233438.1257,0.164
2025-08-14T18:19:37.823293,ADAUSDT,0.933,771936556.6,7.167
2025-08-14T18:19:37.831034,XRPUSDT,3.1352,286813831.1,-3.76
2025-08-14T18:19:39.313225,SOLUSDT,197.59,8900534.364,-0.262
2025-08-14T18:19:39.531516,BTCUSDT,119228.98,30505.844516,-1.624
2025-08-14T18:20:07.544678,ETHUSDT,4684.18,1233622.3579,0.065
2025-08-14T18:20:08.820061,ADAUSDT,0.9318,772025100.4,6.882
2025-08-14T18:20:08.830056,XRPUSDT,3.1329,286887099.5,-3.919
2025-08-14T18:20:10.310682,SOLUSDT,197.22,8904441.094,-0.58
2025-08-14T18:20:10.525617,BTCUSDT,119150.52,30503.192246,-1.723
2025-08-14T18:20:38.536773,ETHUSDT,4679.89,1234031.8818,-0.022
2025-08-14T18:20:39.818510,ADAUSDT,0.9319,772202236.2,6.98
2025-08-14T18:20:39.819508,XRPUSDT,3.1336,286972960.8,-3.877
2025-08-14T18:20:40.321743,SOLUSDT,197.31,8908476.378,-0.514
2025-08-14T18:20:41.519846,BTCUSDT,119174.54,30505.592746,-1.683
2025-08-14T18:21:09.535603,ETHUSDT,4675.82,1234049.9,0.026
2025-08-14T18:21:10.323997,SOLUSDT,197.13,8910193.372,-0.575
2025-08-14T18:21:10.807031,ADAUSDT,0.9298,772495265.5,6.775
2025-08-14T18:21:10.816463,XRPUSDT,3.1298,287020067.3,-3.908
2025-08-14T18:21:12.513078,BTCUSDT,119171.62,30507.235626,-1.633
2025-08-14T18:21:40.529302,ETHUSDT,4667.38,1234538.5442,-0.12
2025-08-14T18:21:41.297312,SOLUSDT,196.58,8915423.299,-0.767
2025-08-14T18:21:41.848735,ADAUSDT,0.9258,772865074.4,6.34
2025-08-14T18:21:41.858234,XRPUSDT,3.125,287078493.4,-4.056
2025-08-14T18:21:43.507154,BTCUSDT,119024.89,30481.696256,-1.747
2025-08-14T18:22:11.521114,ETHUSDT,4673.19,1234530.1532,0.222
2025-08-14T18:22:12.311642,SOLUSDT,196.77,8898827.783,-0.334
2025-08-14T18:22:12.794357,ADAUSDT,0.9271,772839385.8,6.76
2025-08-14T18:22:12.804537,XRPUSDT,3.1258,286849295.7,-3.777
2025-08-14T18:22:14.501238,BTCUSDT,118989.17,30445.074736,-1.693
2025-08-14T18:22:41.524256,ETHUSDT,4674.65,1232466.4236,0.527
2025-08-14T18:22:42.806323,ADAUSDT,0.928,772554608.0,7.258
2025-08-14T18:22:42.821312,XRPUSDT,3.1289,285884365.5,-3.247
2025-08-14T18:22:43.293970,SOLUSDT,196.99,8864797.639,0.244
2025-08-14T18:22:45.502998,BTCUSDT,119000.0,30405.980486,-1.523
2025-08-14T18:23:12.511903,ETHUSDT,4685.77,1231687.0519,0.618
2025-08-14T18:23:13.785977,ADAUSDT,0.9302,772489130.7,7.252
2025-08-14T18:23:13.796968,XRPUSDT,3.1322,285587128.3,-3.318
2025-08-14T18:23:14.276618,SOLUSDT,197.22,8857949.766,0.193
2025-08-14T18:23:15.949397,BTCUSDT,119033.76,30399.386816,-1.56
2025-08-14T18:23:43.507650,ETHUSDT,4680.75,1231475.799,0.564
2025-08-14T18:23:44.778173,ADAUSDT,0.9296,772313039.2,7.047
2025-08-14T18:23:44.789165,XRPUSDT,3.1318,285470321.1,-3.462
2025-08-14T18:23:45.269943,SOLUSDT,197.1,8854833.31,-0.02
2025-08-14T18:23:46.487463,BTCUSDT,119012.66,30379.954096,-1.639
2025-08-14T18:24:14.502226,ETHUSDT,4678.37,1231117.2707,0.697
2025-08-14T18:24:15.775887,ADAUSDT,0.9288,772228795.5,7.017
2025-08-14T18:24:15.785603,XRPUSDT,3.1324,285415541.9,-3.422
2025-08-14T18:24:16.267713,SOLUSDT,197.08,8852055.78,0.112
2025-08-14T18:24:17.484833,BTCUSDT,118974.46,30372.224156,-1.664
2025-08-14T18:24:44.503149,ETHUSDT,4678.6,1230756.2529,0.561
2025-08-14T18:24:45.777455,ADAUSDT,0.9278,772084711.8,6.852
2025-08-14T18:24:46.789822,XRPUSDT,3.1311,285390713.2,-3.477
2025-08-14T18:24:47.833744,SOLUSDT,197.0,8851813.31,0.041
2025-08-14T18:24:47.834744,BTCUSDT,118900.01,30374.585416,-1.665
2025-08-14T18:25:15.497727,ETHUSDT,4677.77,1230979.9362,0.503
2025-08-14T18:25:15.789514,ADAUSDT,0.9295,772068272.7,6.901
2025-08-14T18:25:17.783724,XRPUSDT,3.1336,285365497.6,-3.492
2025-08-14T18:25:18.260952,SOLUSDT,197.06,8850152.744,-0.086
2025-08-14T18:25:18.473807,BTCUSDT,118948.18,30374.811556,-1.665
2025-08-14T18:25:46.488323,ETHUSDT,4670.97,1230931.7797,0.361
2025-08-14T18:25:46.761989,ADAUSDT,0.9284,772028415.9,6.811
2025-08-14T18:25:48.772048,XRPUSDT,3.13,285288878.3,-3.502
2025-08-14T18:25:49.259105,SOLUSDT,196.81,8849238.707,-0.066
2025-08-14T18:25:49.469331,BTCUSDT,118916.21,30372.137986,-1.625
2025-08-14T18:26:02.473111,BTCUSDT,118939.86,30365.257336,-1.569
2025-08-14T18:26:02.493984,ETHUSDT,4671.31,1231088.166,0.392
2025-08-14T18:26:02.762411,ADAUSDT,0.9282,772014105.3,6.812
2025-08-14T18:26:03.805351,XRPUSDT,3.1289,285275694.5,-3.587
2025-08-14T18:26:03.806350,SOLUSDT,196.7,8849826.195,-0.137
2025-08-14T18:26:16.769814,ADAUSDT,0.9275,772034506.7,6.671
2025-08-14T18:26:17.482756,ETHUSDT,4670.34,1231133.0576,0.317
2025-08-14T18:26:18.774060,XRPUSDT,3.1259,285275392.1,-3.724
2025-08-14T18:26:20.247712,SOLUSDT,196.71,8849263.877,-0.112
2025-08-14T18:26:20.465590,BTCUSDT,118907.52,30363.163946,-1.591
2025-08-14T18:26:33.467216,BTCUSDT,118922.79,30362.105656,-1.529
2025-08-14T18:26:33.487843,ETHUSDT,4672.93,1231236.808,0.493
2025-08-14T18:26:33.759664,ADAUSDT,0.9277,772065320.1,6.792
2025-08-14T18:26:34.249676,SOLUSDT,196.71,8848542.752,-0.03
2025-08-14T18:26:34.922684,XRPUSDT,3.1274,285294022.8,-3.648
2025-08-14T18:26:47.753229,ADAUSDT,0.9263,772071666.2,6.484
2025-08-14T18:26:48.479431,ETHUSDT,4666.67,1230998.2536,0.184
2025-08-14T18:26:49.763542,XRPUSDT,3.1237,285288431.9,-3.895
2025-08-14T18:26:51.242908,SOLUSDT,196.58,8847010.593,-0.264
2025-08-14T18:26:51.461107,BTCUSDT,118847.59,30368.486796,-1.698
2025-08-14T18:27:04.283342,SOLUSDT,196.38,8846707.779,-0.305
2025-08-14T18:27:04.463090,BTCUSDT,118849.73,30375.001006,-1.707
2025-08-14T18:27:04.480397,ETHUSDT,4665.48,1231047.9316,0.153
2025-08-14T18:27:04.753119,ADAUSDT,0.9258,772088600.4,6.499
2025-08-14T18:27:05.766566,XRPUSDT,3.1224,285254716.9,-3.864
2025-08-14T18:27:18.747191,ADAUSDT,0.9272,772153831.0,6.673
2025-08-14T18:27:19.473847,ETHUSDT,4669.24,1230876.2513,0.263
2025-08-14T18:27:20.757071,XRPUSDT,3.1241,285270955.6,-3.824
2025-08-14T18:27:22.262658,SOLUSDT,196.46,8844310.495,-0.239
2025-08-14T18:27:22.455340,BTCUSDT,118870.0,30368.718566,-1.76
2025-08-14T18:27:35.240994,SOLUSDT,196.37,8843317.538,-0.269
2025-08-14T18:27:35.456776,BTCUSDT,118830.2,30365.469646,-1.749
2025-08-14T18:27:35.474717,ETHUSDT,4665.02,1231018.0356,0.136
2025-08-14T18:27:35.766054,ADAUSDT,0.9262,772169829.2,6.607
2025-08-14T18:27:36.763013,XRPUSDT,3.1214,285285892.3,-3.883
2025-08-14T18:27:48.762878,ADAUSDT,0.926,772195210.8,6.559
2025-08-14T18:27:50.468658,ETHUSDT,4662.1,1231160.0275,0.058
2025-08-14T18:27:51.770458,XRPUSDT,3.1219,285289546.7,-3.862
2025-08-14T18:27:53.233801,SOLUSDT,196.32,8842580.731,-0.249
2025-08-14T18:27:53.451551,BTCUSDT,118791.66,30361.781786,-1.799
2025-08-14T18:28:06.237913,SOLUSDT,196.21,8842461.821,-0.269
2025-08-14T18:28:06.453266,BTCUSDT,118748.0,30367.161856,-1.817
2025-08-14T18:28:06.470038,ETHUSDT,4661.99,1231452.5842,0.086
2025-08-14T18:28:06.740151,ADAUSDT,0.9247,772314064.7,6.434
2025-08-14T18:28:07.756635,XRPUSDT,3.1201,285342215.9,-3.914
2025-08-14T18:28:19.739445,ADAUSDT,0.9248,772444832.9,6.372
2025-08-14T18:28:20.468444,ETHUSDT,4659.7,1231633.8105,-0.006
2025-08-14T18:28:22.734915,XRPUSDT,3.1221,285412237.6,-3.941
2025-08-14T18:28:23.240896,SOLUSDT,196.18,8842889.486,-0.396
2025-08-14T18:28:23.464563,BTCUSDT,118754.89,30380.384096,-1.862
2025-08-14T18:28:37.275384,SOLUSDT,196.2,8838278.714,-0.406
2025-08-14T18:28:37.450664,BTCUSDT,118797.4,30378.565786,-1.832
2025-08-14T18:28:37.466770,ETHUSDT,4660.27,1231742.0746,0.027
2025-08-14T18:28:37.742560,ADAUSDT,0.9249,772536662.8,6.31
2025-08-14T18:28:38.749026,XRPUSDT,3.124,285494349.7,-3.912
2025-08-14T18:28:50.734213,ADAUSDT,0.9253,772576298.2,6.479
2025-08-14T18:28:51.460074,ETHUSDT,4662.39,1232054.8505,0.17
2025-08-14T18:28:52.749608,XRPUSDT,3.1231,285497265.9,-3.869
2025-08-14T18:28:54.224595,SOLUSDT,196.31,8837184.443,-0.219
2025-08-14T18:28:54.441434,BTCUSDT,118793.59,30376.715616,-1.809
2025-08-14T18:29:08.231779,SOLUSDT,196.29,8838285.787,-0.249
2025-08-14T18:29:08.449961,BTCUSDT,118808.92,30379.561506,-1.792
2025-08-14T18:29:08.449961,ETHUSDT,4663.73,1232284.7344,0.18
2025-08-14T18:29:08.735653,ADAUSDT,0.9259,772891711.1,6.535
2025-08-14T18:29:09.747979,XRPUSDT,3.123,285587856.2,-3.887
